DATE,NAEXKP03ZAQ652S
1993-01-01,123477208775.0
1993-04-01,124355563350.0
1993-07-01,125063641375.0
1993-10-01,125730692650.0
1994-01-01,126300305000.0
1994-04-01,126301439275.0
1994-07-01,125735522725.0
1994-10-01,124322992175.0
1995-01-01,121200166550.0
1995-04-01,118543360175.0
1995-07-01,116477887800.0
1995-10-01,116234470250.0
1996-01-01,119143453025.0
1996-04-01,121567535700.0
1996-07-01,123658814000.0
1996-10-01,126063890225.0
1997-01-01,125395845750.0
1997-04-01,125446543375.0
1997-07-01,125152350175.0
1997-10-01,124916011225.0
1998-01-01,123309708400.0
1998-04-01,123046095700.0
1998-07-01,122134657750.0
1998-10-01,121297698125.0
1999-01-01,121647399150.0
1999-04-01,122374660725.0
1999-07-01,123333822450.0
1999-10-01,124560251425.0
2000-01-01,125312028500.0
2000-04-01,126101559725.0
2000-07-01,127010916825.0
2000-10-01,127897582900.0
2001-01-01,128821126625.0
2001-04-01,129881789925.0
2001-07-01,131110188075.0
2001-10-01,132318828875.00002
2002-01-01,133880166650.0
2002-04-01,135549842875.0
2002-07-01,137380031050.00002
2002-10-01,139190903750.0
2003-01-01,141093819750.0
2003-04-01,143033355025.0
2003-07-01,145137175825.0
2003-10-01,147605067375.0
2004-01-01,149875563575.0
2004-04-01,151594835550.0
2004-07-01,152633209575.0
2004-10-01,152978752675.0
2005-01-01,152177916725.0
2005-04-01,152467878400.0
2005-07-01,153274755375.0
2005-10-01,155712406900.0
2006-01-01,158216412700.0
2006-04-01,158319457500.0
2006-07-01,159673199300.0
2006-10-01,160542358500.0
2007-01-01,163407456225.0
2007-04-01,166913800700.0
2007-07-01,171147589575.0
2007-10-01,174787503175.0
2008-01-01,179796957175.0
2008-04-01,181516491050.0
2008-07-01,183178145225.0
2008-10-01,183641788325.0
2009-01-01,183831943275.0
2009-04-01,184582954325.0
2009-07-01,186228660250.0
2009-10-01,186346760775.0
2010-01-01,184636486150.0
2010-04-01,184760764950.0
2010-07-01,184849699800.0
2010-10-01,184676821250.0
2011-01-01,186200656925.0
2011-04-01,192604971325.0
2011-07-01,194911426075.0
2011-10-01,195380798525.0
2012-01-01,197513960775.0
2012-04-01,200631495800.0
2012-07-01,203189098975.0
2012-10-01,204605476375.0
2013-01-01,205851864825.0
2013-04-01,207968820450.0
2013-07-01,208382772525.0
2013-10-01,209217874850.0
2014-01-01,210459579425.0
2014-04-01,211702404825.0
2014-07-01,212164189225.0
2014-10-01,213109227100.0
2015-01-01,209442624775.0
2015-04-01,209396306000.0
2015-07-01,209500369000.0
2015-10-01,210951322625.0
2016-01-01,211930756150.0
2016-04-01,214679085750.0
2016-07-01,215483473775.0
2016-10-01,214129159550.0
2017-01-01,213997119225.0
2017-04-01,213294636175.0
2017-07-01,213273850850.0
2017-10-01,213275970925.0
2018-01-01,214769412675.0
2018-04-01,216260138750.0
2018-07-01,215402292375.0
2018-10-01,215545518850.0
2019-01-01,218896175675.0
2019-04-01,220784751700.0
2019-07-01,222738869275.0
2019-10-01,223068146575.0
2020-01-01,224207812125.0
2020-04-01,223675915700.0
2020-07-01,223822721875.0
2020-10-01,225189667750.0
2021-01-01,224320326700.0
2021-04-01,224000797525.0
2021-07-01,224377169875.0
2021-10-01,224578398175.0
