"","year","quarter","Real_interest_rate"
"1",1960,1,4.70333052252771
"2",1960,2,4.8533222952406
"3",1960,3,5.33333060578847
"4",1960,4,5.5
"5",1961,1,5.4999973081381
"6",1961,2,5.83332275759918
"7",1961,3,5.99999737743497
"8",1961,4,5.83333333333333
"9",1962,1,5.49999738590852
"10",1962,2,4.70333076033319
"11",1962,3,3.79333333266667
"12",1962,4,3.42665642564919
"13",1963,1,3.46666413443187
"14",1963,2,3.60666413476521
"15",1963,3,3.54999750790247
"16",1963,4,3.32666666633333
"17",1964,1,3.98664438064746
"18",1964,2,4.35999757755508
"19",1964,3,4.99997873088364
"20",1964,4,5.16664597409789
"21",1965,1,5.6666644019692
"22",1965,2,5.9999977756527
"23",1965,3,5.99999127263206
"24",1965,4,5.99999140013043
"25",1966,1,5.99999157398637
"26",1966,2,5.99999790870267
"27",1966,3,6.99992610807105
"28",1966,4,6.99999800785734
"29",1967,1,6.99999213168929
"30",1967,2,6.9999922839407
"31",1967,3,6.99999811055549
"32",1967,4,7
"33",1968,1,6.99999245259285
"34",1968,2,6.99999813626193
"35",1968,3,6.66665934227357
"36",1968,4,6.49999277372236
"37",1969,1,6.49998397860253
"38",1969,2,6.49999825725096
"39",1969,3,6.49999309297262
"40",1969,4,6.49998484003074
"41",1970,1,6.5
"42",1970,2,6.5
"43",1970,3,6.49984177423819
"44",1970,4,6.5
"45",1971,1,6.83317901433022
"46",1971,2,7.5
"47",1971,3,7.49985657084801
"48",1971,4,7.5
"49",1972,1,7.5
"50",1972,2,7.5
"51",1972,3,7.16654182402041
"52",1972,4,7
"53",1973,1,6.83321645742632
"54",1973,2,6.5
"55",1973,3,5.71666666633333
"56",1973,4,4.406666666
"57",1974,1,6.21990481638377
"58",1974,2,6.60297731296672
"59",1974,3,7.62633606927276
"60",1974,4,7.5399223718046
"61",1975,1,7.42326090049471
"62",1975,2,7.13993112920518
"63",1975,3,7.69993548321783
"64",1975,4,8.36660515023398
"65",1976,1,8.6464299702723
"66",1976,2,8.76661138676156
"67",1976,3,9.25312629723454
"68",1976,4,9.23994934098589
"69",1977,1,9.3699521071375
"70",1977,2,9.34666666566667
"71",1977,3,9.39662422559786
"72",1977,4,9.40995917048026
"73",1978,1,9.46999999933333
"74",1978,2,9.48333333266667
"75",1978,3,9.26653145506572
"76",1978,4,8.90333333233333
"77",1979,1,8.18654320633622
"78",1979,2,6.92330395553529
"79",1979,3,6.10322920724439
"80",1979,4,5.46664179042968
"81",1980,1,5.74657054758211
"82",1980,2,6.02979687918209
"83",1980,3,6.04647986165158
"84",1980,4,7.02983059952624
"85",1981,1,8.79992878449598
"86",1981,2,10.3732650308769
"87",1981,3,12.7862806618271
"88",1981,4,14.2766092740148
"89",1982,1,16.9429916442931
"90",1982,2,17.5066163662976
"91",1982,3,17.5798097435979
"92",1982,4,15.9532891823854
"93",1983,1,12.703165755047
"94",1983,2,13.8899900789638
"95",1983,3,16.5065817192687
"96",1983,4,17.8532972603417
"97",1984,1,18.7498615885026
"98",1984,2,18.7499279773849
"99",1984,3,21.7499318856511
"100",1984,4,22.0832695029802
"101",1985,1,22.7496819174964
"102",1985,2,21.0831849707371
"103",1985,3,17.2498599456122
"104",1985,4,14.3330807977775
"105",1986,1,12.9998851198411
"106",1986,2,12.3332945135831
"107",1986,3,11.4997470339066
"108",1986,4,10.8332022192276
"109",1987,1,10.499783729229
"110",1987,2,10.4999215455116
"111",1987,3,10.4997620857152
"112",1987,4,10.4999313579211
"113",1988,1,10.8332048249507
"114",1988,2,12.1666272351055
"115",1988,3,13.4998512753142
"116",1988,4,14.8332550176428
"117",1989,1,15.499835395546
"118",1989,2,17.66651528708
"119",1989,3,17.999888314627
"120",1989,4,18.9998356299482
"121",1990,1,18.9998757750163
"122",1990,2,18.9999294673864
