DATE,ZAFGDPNQDSMEI
1960-01-01,1479890060.09222
1960-04-01,1495706404.321
1960-07-01,1515714359.21113
1960-10-01,1557099528.47408
1961-01-01,1565566582.00998
1961-04-01,1560760201.78498
1961-07-01,1612037572.20869
1961-10-01,1627742140.1531699
1962-01-01,1657921736.91481
1962-04-01,1675414725.40813
1962-07-01,1712552395.86759
1962-10-01,1739211039.6736999
1963-01-01,1795434510.67779
1963-04-01,1841262787.24176
1963-07-01,1925709770.0321898
1963-10-01,1960947243.65852
1964-01-01,2014767524.5501003
1964-04-01,2050927152.5219202
1964-07-01,2068448085.0863101
1964-10-01,2148200463.93605
1965-01-01,2237286162.52503
1965-04-01,2253717276.31748
1965-07-01,2260982734.79713
1965-10-01,2297226194.98218
1966-01-01,2370607325.62668
1966-04-01,2437561319.92379
1966-07-01,2496243869.18253
1966-10-01,2559676910.5241203
1967-01-01,2634203748.08273
1967-04-01,2688834407.03551
1967-07-01,2861333157.78513
1967-10-01,2815896098.21622
1968-01-01,2904534691.6679897
1968-04-01,2912219311.21378
1968-07-01,2994849929.3843
1968-10-01,3080219066.52023
1969-01-01,3211919473.49949
1969-04-01,3292202789.69966
1969-07-01,3439076827.27297
1969-10-01,3453831296.80088
1970-01-01,3539200433.93681
1970-04-01,3673192254.74427
1970-07-01,3640637411.94121
1970-10-01,3852034309.62805
1971-01-01,3883834662.51208
1971-04-01,3983986213.24699
1971-07-01,4132201566.2319303
1971-10-01,4255602584.10174
1972-01-01,4391215161.03158
1972-04-01,4434556415.26982
1972-07-01,4635697838.87192
1972-10-01,4889905053.446569
1973-01-01,5207824750.07357
1973-04-01,5432774522.23208
1973-07-01,5877169084.5472
1973-10-01,6206098745.177979
1974-01-01,6576022358.076651
1974-04-01,6869546880.65466
1974-07-01,7082788087.032491
1974-10-01,7426947266.399469
1975-01-01,7637422009.74082
1975-04-01,7658994832.61118
1975-07-01,8059824588.119451
1975-10-01,8149497112.20102
1976-01-01,8469289061.590089
1976-04-01,8827504108.70809
1976-07-01,9064469831.4291
1976-10-01,9215954640.72988
1977-01-01,9319068262.998798
1977-04-01,9547958149.178968
1977-07-01,10117598038.054901
1977-10-01,10527341952.2363
1978-01-01,10710515338.136799
1978-04-01,10982494981.9155
1978-07-01,11722817256.9211
1978-10-01,12013491484.2494
1979-01-01,12843709835.9052
1979-04-01,12831889493.8403
1979-07-01,13624662790.254799
1979-10-01,14954772629.3818
1980-01-01,17237831180.3287
1980-04-01,17412761065.2619
1980-07-01,18640847100.8919
1980-10-01,18947170008.0226
